timestamp,image,total_cars,cars_in_forbidden,cars_legal,line_delta_dx,line_delta_dy,alignment_source,alignment_confidence,uncertain
2026-04-16 01:37:56,TEST/2024-04-05 18_04_45.jpg,4,0,4,0.0,0.0,disabled,0.9303,0
2026-04-16 01:37:56,TEST/2024-04-10 08_04_25.jpg,31,1,30,0.0,0.0,disabled,0.9258,0
2026-04-16 01:37:56,TEST/2024-04-10 09_04_26.jpg,34,1,33,0.0,0.0,disabled,0.9112,0
2026-04-16 01:37:56,TEST/2024-04-10 09_04_27.jpg,33,2,31,0.0,0.0,disabled,0.9155,0
2026-04-16 01:37:56,TEST/2024-04-10 10_04_27.jpg,35,2,33,0.0,0.0,disabled,0.9134,0
2026-04-16 01:37:57,TEST/2024-04-10 10_04_28.jpg,36,2,34,0.0,0.0,disabled,0.9219,0
2026-04-16 01:37:57,TEST/2024-04-10 10_04_29.jpg,36,3,33,0.0,0.0,disabled,0.9235,0
2026-04-16 01:37:57,TEST/2024-04-10 11_04_29.jpg,36,3,33,0.0,0.0,disabled,0.9232,0
2026-04-16 01:37:57,TEST/2024-04-10 11_04_30.jpg,35,3,32,0.0,0.0,disabled,0.9239,0
2026-04-16 01:37:57,TEST/2024-04-10 12_04_30.jpg,35,2,33,0.0,0.0,disabled,0.9241,0
2026-04-16 01:37:58,TEST/2024-04-10 12_04_31.jpg,35,2,33,0.0,0.0,disabled,0.9060,0
2026-04-16 01:37:58,TEST/2024-04-10 12_04_32.jpg,35,2,33,0.0,0.0,disabled,0.9153,0
2026-04-16 01:37:58,TEST/2024-04-10 13_04_32.jpg,34,2,32,0.0,0.0,disabled,0.9138,0
2026-04-16 01:37:58,TEST/2024-04-10 13_04_33.jpg,36,2,34,0.0,0.0,disabled,0.9120,0
2026-04-16 01:37:58,TEST/2024-04-10 14_04_34.jpg,33,2,31,0.0,0.0,disabled,0.9113,0
2026-04-16 01:37:59,TEST/2024-04-10 14_04_35.jpg,29,2,27,0.0,0.0,disabled,0.9147,0
2026-04-16 01:37:59,TEST/2024-04-10 15_04_35.jpg,27,1,26,0.0,0.0,disabled,0.9110,0
2026-04-16 01:37:59,TEST/2024-04-10 15_04_36.jpg,24,1,23,0.0,0.0,disabled,0.9254,0
2026-04-16 01:37:59,TEST/2024-04-10 15_04_37.jpg,25,1,24,0.0,0.0,disabled,0.9153,0
2026-04-16 01:37:59,TEST/2024-04-10 16_04_37.jpg,20,1,19,0.0,0.0,disabled,0.9212,0
2026-04-16 01:38:00,TEST/2024-04-10 16_04_38.jpg,20,1,19,0.0,0.0,disabled,0.9129,0
2026-04-16 01:38:00,TEST/2024-04-10 17_04_38.jpg,19,1,18,0.0,0.0,disabled,0.9136,0
2026-04-16 01:38:00,TEST/2024-04-10 17_04_39.jpg,12,0,12,0.0,0.0,disabled,0.9261,0
2026-04-16 01:38:00,TEST/2024-04-10 17_04_40.jpg,12,1,11,0.0,0.0,disabled,0.9310,0
2026-04-16 01:38:00,TEST/2024-04-10 18_04_40.jpg,12,1,11,0.0,0.0,disabled,0.9182,0
2026-04-16 01:38:01,TEST/2024-04-10 18_04_41.jpg,10,0,10,0.0,0.0,disabled,0.9172,0
2026-04-16 01:38:01,TEST/2024-04-10 19_04_42.jpg,8,0,8,0.0,0.0,disabled,0.8990,0
2026-04-16 01:38:01,TEST/2024-04-10 19_04_43.jpg,5,0,5,0.0,0.0,disabled,0.9006,0
2026-04-16 01:38:01,TEST/2024-04-10 20_04_43.jpg,4,0,4,0.0,0.0,disabled,0.6584,0
2026-04-16 01:38:02,TEST/2024-04-11 14_04_23.jpg,35,3,32,0.0,0.0,disabled,0.9033,0
2026-04-16 01:38:02,TEST/2024-04-11 14_04_24.jpg,34,3,31,0.0,0.0,disabled,0.8965,0
2026-04-16 01:38:02,TEST/2024-04-11 14_04_25.jpg,35,3,32,0.0,0.0,disabled,0.9006,0
2026-04-16 01:38:02,TEST/2024-04-11 15_04_25.jpg,29,1,28,0.0,0.0,disabled,0.9055,0
2026-04-16 01:38:02,TEST/2024-04-11 15_04_26.jpg,26,1,25,0.0,0.0,disabled,0.9093,0
2026-04-16 01:38:02,TEST/2024-04-11 16_04_27.jpg,24,0,24,0.0,0.0,disabled,0.8906,0
2026-04-16 01:38:03,TEST/2024-04-11 16_04_28.jpg,22,1,21,0.0,0.0,disabled,0.9021,0
2026-04-16 01:38:03,TEST/2024-04-11 17_04_29.jpg,15,0,15,0.0,0.0,disabled,0.9141,0
2026-04-16 01:38:03,TEST/2024-04-11 17_04_30.jpg,14,0,14,0.0,0.0,disabled,0.9116,0
2026-04-16 01:38:03,TEST/2024-04-11 18_04_30.jpg,13,0,13,0.0,0.0,disabled,0.9096,0
2026-04-16 01:38:04,TEST/2024-04-11 18_04_31.jpg,9,0,9,0.0,0.0,disabled,0.9242,0
2026-04-16 01:38:04,TEST/2024-04-11 19_04_32.jpg,6,0,6,0.0,0.0,disabled,0.9156,0
2026-04-16 01:38:04,TEST/2024-04-11 19_04_33.jpg,5,0,5,0.0,0.0,disabled,0.8175,0
2026-04-16 01:38:04,TEST/2024-04-12 15_04_36.jpg,13,2,11,0.0,0.0,disabled,0.9039,0
2026-04-16 01:38:04,TEST/2024-04-12 16_04_36.jpg,13,2,11,0.0,0.0,disabled,0.9020,0
2026-04-16 01:38:05,TEST/2024-04-12 16_04_37.jpg,10,2,8,0.0,0.0,disabled,0.8983,0
2026-04-16 01:38:05,TEST/2024-04-12 16_04_38.jpg,7,2,5,0.0,0.0,disabled,0.9231,0
2026-04-16 01:38:05,TEST/2024-04-12 17_04_38.jpg,4,0,4,0.0,0.0,disabled,0.9168,0
2026-04-16 01:38:05,TEST/2024-04-12 17_04_39.jpg,4,0,4,0.0,0.0,disabled,0.9179,0
2026-04-16 01:38:05,TEST/2024-04-12 18_04_39.jpg,4,1,3,0.0,0.0,disabled,0.9165,0
2026-04-16 01:38:06,TEST/2024-04-12 18_04_40.jpg,4,1,3,0.0,0.0,disabled,0.9096,0
2026-04-16 01:38:06,TEST/2024-04-12 18_04_41.jpg,4,0,4,0.0,0.0,disabled,0.9091,0
2026-04-16 01:38:06,TEST/2024-04-12 19_04_41.jpg,3,1,2,0.0,0.0,disabled,0.8586,0
2026-04-16 01:38:06,TEST/2024-04-12 19_04_42.jpg,1,0,1,0.0,0.0,disabled,0.9009,0
2026-04-16 01:38:06,TEST/2024-04-15 14_04_28.jpg,31,1,30,0.0,0.0,disabled,0.9184,0
2026-04-16 01:38:07,TEST/2024-04-15 14_04_29.jpg,32,1,31,0.0,0.0,disabled,0.9188,0
2026-04-16 01:38:07,TEST/2024-04-15 15_04_29.jpg,29,1,28,0.0,0.0,disabled,0.9143,0
2026-04-16 01:38:07,TEST/2024-04-15 15_04_30.jpg,23,1,22,0.0,0.0,disabled,0.9162,0
2026-04-16 01:38:07,TEST/2024-04-15 15_04_31.jpg,22,1,21,0.0,0.0,disabled,0.9186,0
2026-04-16 01:38:07,TEST/2024-04-15 16_04_31.jpg,22,1,21,0.0,0.0,disabled,0.9190,0
2026-04-16 01:38:08,TEST/2024-04-15 16_04_32.jpg,18,1,17,0.0,0.0,disabled,0.9202,0
2026-04-16 01:38:08,TEST/2024-04-15 16_04_33.jpg,17,1,16,0.0,0.0,disabled,0.9205,0
2026-04-16 01:38:08,TEST/2024-04-15 17_04_33.jpg,14,1,13,0.0,0.0,disabled,0.9129,0
2026-04-16 01:38:08,TEST/2024-04-15 17_04_34.jpg,14,1,13,0.0,0.0,disabled,0.9129,0
2026-04-16 01:38:08,TEST/2024-04-15 18_04_34.jpg,12,1,11,0.0,0.0,disabled,0.9088,0
2026-04-16 01:38:09,TEST/2024-04-15 18_04_35.jpg,7,1,6,0.0,0.0,disabled,0.9115,0
2026-04-16 01:38:09,TEST/2024-04-15 18_04_36.jpg,5,1,4,0.0,0.0,disabled,0.8953,0
2026-04-16 01:38:09,TEST/2024-04-15 19_04_36.jpg,4,1,3,0.0,0.0,disabled,0.8923,0
2026-04-16 01:38:09,TEST/2024-04-15 19_04_37.jpg,2,1,1,0.0,0.0,disabled,0.7480,0
2026-04-16 01:38:09,TEST/2026-02-20 07_45_58.jpg,8,0,8,0.0,0.0,disabled,0.9246,0
2026-04-16 01:38:10,TEST/2026-02-20 07_55_58.jpg,11,0,11,0.0,0.0,disabled,0.9297,0
2026-04-16 01:38:10,TEST/2026-02-20 08_05_58.jpg,12,0,12,0.0,0.0,disabled,0.9295,0
2026-04-16 01:38:10,TEST/2026-02-20 08_15_58.jpg,13,0,13,0.0,0.0,disabled,0.9278,0
2026-04-16 01:38:10,TEST/2026-02-20 08_25_59.jpg,15,0,15,0.0,0.0,disabled,0.9272,0
2026-04-16 01:38:10,TEST/2026-02-20 08_35_59.jpg,19,0,19,0.0,0.0,disabled,0.9335,0
2026-04-16 01:38:11,TEST/2026-02-20 08_45_59.jpg,20,0,20,0.0,0.0,disabled,0.9344,0
2026-04-16 01:38:11,TEST/2026-02-20 08_56_00.jpg,21,0,21,0.0,0.0,disabled,0.9314,0
2026-04-16 01:38:11,TEST/2026-02-20 09_06_00.jpg,23,0,23,0.0,0.0,disabled,0.9283,0
2026-04-16 01:38:11,TEST/2026-02-20 09_16_00.jpg,24,0,24,0.0,0.0,disabled,0.9250,0
2026-04-16 01:38:12,TEST/2026-02-20 09_26_00.jpg,25,0,25,0.0,0.0,disabled,0.9278,0
2026-04-16 01:38:12,TEST/2026-02-20 09_36_01.jpg,26,0,26,0.0,0.0,disabled,0.9260,0
2026-04-16 01:38:12,TEST/2026-02-20 09_46_01.jpg,29,0,29,0.0,0.0,disabled,0.9192,0
2026-04-16 01:38:12,TEST/2026-02-20 09_56_01.jpg,27,0,27,0.0,0.0,disabled,0.9219,0
2026-04-16 01:38:12,TEST/2026-02-20 10_06_01.jpg,28,0,28,0.0,0.0,disabled,0.9209,0
2026-04-16 01:38:13,TEST/2026-02-20 10_16_02.jpg,28,0,28,0.0,0.0,disabled,0.9177,0
2026-04-16 01:38:13,TEST/2026-02-20 10_26_02.jpg,28,0,28,0.0,0.0,disabled,0.9207,0
2026-04-16 01:38:13,TEST/2026-02-20 10_36_02.jpg,30,0,30,0.0,0.0,disabled,0.9213,0
2026-04-16 01:38:13,TEST/2026-02-20 10_46_02.jpg,28,0,28,0.0,0.0,disabled,0.9265,0
2026-04-16 01:38:13,TEST/2026-02-20 10_56_03.jpg,29,0,29,0.0,0.0,disabled,0.9125,0
2026-04-16 01:38:14,TEST/2026-02-20 11_06_03.jpg,28,0,28,0.0,0.0,disabled,0.9263,0
2026-04-16 01:38:14,TEST/2026-02-20 11_16_03.jpg,28,0,28,0.0,0.0,disabled,0.9268,0
2026-04-16 01:38:14,TEST/2026-02-20 11_26_04.jpg,26,0,26,0.0,0.0,disabled,0.9300,0
2026-04-16 01:38:14,TEST/2026-02-20 11_36_04.jpg,25,0,25,0.0,0.0,disabled,0.9321,0
2026-04-16 01:38:14,TEST/2026-02-20 11_46_04.jpg,25,0,25,0.0,0.0,disabled,0.9287,0
2026-04-16 01:38:15,TEST/2026-02-20 11_56_04.jpg,26,0,26,0.0,0.0,disabled,0.9288,0
2026-04-16 01:38:15,TEST/2026-02-20 12_06_05.jpg,25,0,25,0.0,0.0,disabled,0.9305,0
2026-04-16 01:38:15,TEST/2026-02-20 12_16_05.jpg,26,0,26,0.0,0.0,disabled,0.9271,0
2026-04-16 01:38:15,TEST/2026-02-20 12_26_05.jpg,26,0,26,0.0,0.0,disabled,0.9270,0
2026-04-16 01:38:15,TEST/2026-02-20 12_36_05.jpg,25,0,25,0.0,0.0,disabled,0.9284,0
2026-04-16 01:38:16,TEST/2026-02-20 12_46_06.jpg,27,0,27,0.0,0.0,disabled,0.9224,0
2026-04-16 01:38:16,TEST/2026-02-20 12_56_06.jpg,25,0,25,0.0,0.0,disabled,0.9314,0
2026-04-16 01:38:16,TEST/2026-02-20 13_06_06.jpg,27,0,27,0.0,0.0,disabled,0.9303,0
2026-04-16 01:38:16,TEST/2026-02-20 13_16_07.jpg,26,0,26,0.0,0.0,disabled,0.9305,0
2026-04-16 01:38:16,TEST/2026-02-20 13_26_07.jpg,25,0,25,0.0,0.0,disabled,0.9306,0
2026-04-16 01:38:17,TEST/2026-02-20 13_36_07.jpg,22,0,22,0.0,0.0,disabled,0.9283,0
2026-04-16 01:38:17,TEST/2026-02-20 13_46_07.jpg,22,0,22,0.0,0.0,disabled,0.9176,0
2026-04-16 01:38:17,TEST/2026-02-20 13_56_08.jpg,23,0,23,0.0,0.0,disabled,0.9116,0
2026-04-16 01:38:17,TEST/2026-02-20 14_06_08.jpg,20,0,20,0.0,0.0,disabled,0.9202,0
2026-04-16 01:38:18,TEST/2026-02-20 14_16_08.jpg,20,0,20,0.0,0.0,disabled,0.9165,0
2026-04-16 01:38:18,TEST/2026-02-20 14_26_08.jpg,21,0,21,0.0,0.0,disabled,0.9190,0
2026-04-16 01:38:18,TEST/2026-02-20 14_36_08.jpg,19,0,19,0.0,0.0,disabled,0.9253,0
2026-04-16 01:38:18,TEST/2026-02-20 14_46_09.jpg,19,0,19,0.0,0.0,disabled,0.9262,0
2026-04-16 01:38:18,TEST/2026-02-20 14_56_09.jpg,16,0,16,0.0,0.0,disabled,0.9278,0
2026-04-16 01:38:19,TEST/2026-02-20 15_06_09.jpg,15,0,15,0.0,0.0,disabled,0.9271,0
2026-04-16 01:38:19,TEST/2026-02-20 15_16_10.jpg,14,0,14,0.0,0.0,disabled,0.9288,0
2026-04-16 01:38:19,TEST/2026-02-20 15_26_10.jpg,13,0,13,0.0,0.0,disabled,0.9281,0
2026-04-16 01:38:19,TEST/2026-02-20 15_36_10.jpg,14,0,14,0.0,0.0,disabled,0.9289,0
2026-04-16 01:38:19,TEST/2026-02-20 15_46_11.jpg,14,0,14,0.0,0.0,disabled,0.9289,0
2026-04-16 01:38:20,TEST/2026-02-20 15_56_11.jpg,14,0,14,0.0,0.0,disabled,0.9323,0
2026-04-16 01:38:20,TEST/2026-02-20 16_06_11.jpg,11,0,11,0.0,0.0,disabled,0.9270,0
2026-04-16 01:38:20,TEST/2026-02-20 16_16_11.jpg,11,0,11,0.0,0.0,disabled,0.9316,0
2026-04-16 01:38:20,TEST/2026-02-20 16_26_12.jpg,9,0,9,0.0,0.0,disabled,0.8908,0
2026-04-16 01:38:20,TEST/2026-02-20 16_36_12.jpg,8,0,8,0.0,0.0,disabled,0.9322,0
2026-04-16 01:38:21,TEST/2026-02-20 16_46_12.jpg,9,0,9,0.0,0.0,disabled,0.9232,0
2026-04-16 01:38:21,TEST/2026-02-20 16_56_12.jpg,7,0,7,0.0,0.0,disabled,0.9306,0
2026-04-16 01:38:21,TEST/2026-02-20 17_06_13.jpg,7,0,7,0.0,0.0,disabled,0.9308,0
2026-04-16 01:38:21,TEST/2026-02-20 17_16_13.jpg,6,0,6,0.0,0.0,disabled,0.9279,0
2026-04-16 01:38:22,TEST/2026-02-20 17_26_13.jpg,4,0,4,0.0,0.0,disabled,0.9271,0
2026-04-16 01:38:22,TEST/2026-02-20 17_36_13.jpg,3,0,3,0.0,0.0,disabled,0.7986,0
2026-04-16 01:38:22,TEST/2026-02-24 07_35_20.jpg,18,1,17,0.0,0.0,disabled,0.9224,0
2026-04-16 01:38:22,TEST/2026-02-24 07_45_20.jpg,18,0,18,0.0,0.0,disabled,0.9227,0
2026-04-16 01:38:22,TEST/2026-02-24 07_55_20.jpg,19,0,19,0.0,0.0,disabled,0.9252,0
2026-04-16 01:38:23,TEST/2026-02-24 08_05_21.jpg,24,1,23,0.0,0.0,disabled,0.9257,0
2026-04-16 01:38:23,TEST/2026-02-24 08_15_21.jpg,26,0,26,0.0,0.0,disabled,0.9163,0
2026-04-16 01:38:23,TEST/2026-02-24 08_25_21.jpg,28,0,28,0.0,0.0,disabled,0.9167,0
2026-04-16 01:38:23,TEST/2026-02-24 08_35_21.jpg,31,1,30,0.0,0.0,disabled,0.9283,0
2026-04-16 01:38:23,TEST/2026-02-24 08_45_22.jpg,33,0,33,0.0,0.0,disabled,0.9251,0
2026-04-16 01:38:24,TEST/2026-02-24 08_55_22.jpg,34,0,34,0.0,0.0,disabled,0.9194,0
2026-04-16 01:38:24,TEST/2026-02-24 09_05_22.jpg,36,0,36,0.0,0.0,disabled,0.9187,0
2026-04-16 01:38:24,TEST/2026-02-24 09_15_23.jpg,34,1,33,0.0,0.0,disabled,0.9046,0
2026-04-16 01:38:24,TEST/2026-02-24 09_25_23.jpg,37,0,37,0.0,0.0,disabled,0.9006,0
2026-04-16 01:38:24,TEST/2026-02-24 09_35_23.jpg,36,2,34,0.0,0.0,disabled,0.9158,0
2026-04-16 01:38:25,TEST/2026-02-24 09_45_23.jpg,37,2,35,0.0,0.0,disabled,0.9150,0
2026-04-16 01:38:25,TEST/2026-02-24 09_55_23.jpg,36,1,35,0.0,0.0,disabled,0.9128,0
2026-04-16 01:38:25,TEST/2026-02-24 10_05_24.jpg,38,3,35,0.0,0.0,disabled,0.9127,0
2026-04-16 01:38:25,TEST/2026-02-24 10_15_24.jpg,36,2,34,0.0,0.0,disabled,0.9059,0
2026-04-16 01:38:26,TEST/2026-02-24 10_25_24.jpg,37,1,36,0.0,0.0,disabled,0.9065,0
2026-04-16 01:38:26,TEST/2026-02-24 10_35_24.jpg,40,2,38,0.0,0.0,disabled,0.9033,0
2026-04-16 01:38:26,TEST/2026-02-24 10_45_25.jpg,38,3,35,0.0,0.0,disabled,0.9088,0
2026-04-16 01:38:26,TEST/2026-02-24 10_55_25.jpg,38,2,36,0.0,0.0,disabled,0.9067,0
2026-04-16 01:38:26,TEST/2026-02-24 11_05_25.jpg,35,1,34,0.0,0.0,disabled,0.9074,0
2026-04-16 01:38:27,TEST/2026-02-24 11_15_26.jpg,33,0,33,0.0,0.0,disabled,0.9184,0
2026-04-16 01:38:27,TEST/2026-02-24 11_25_26.jpg,34,0,34,0.0,0.0,disabled,0.9130,0
2026-04-16 01:38:27,TEST/2026-02-24 11_35_26.jpg,33,0,33,0.0,0.0,disabled,0.9140,0
2026-04-16 01:38:27,TEST/2026-02-24 11_45_26.jpg,33,1,32,0.0,0.0,disabled,0.9126,0
2026-04-16 01:38:27,TEST/2026-02-24 11_55_27.jpg,33,0,33,0.0,0.0,disabled,0.9102,0
2026-04-16 01:38:28,TEST/2026-02-24 12_05_27.jpg,34,1,33,0.0,0.0,disabled,0.9145,0
2026-04-16 01:38:28,TEST/2026-02-24 12_15_27.jpg,36,1,35,0.0,0.0,disabled,0.9083,0
2026-04-16 01:38:28,TEST/2026-02-24 12_25_28.jpg,36,1,35,0.0,0.0,disabled,0.9097,0
2026-04-16 01:38:28,TEST/2026-02-24 12_35_28.jpg,35,1,34,0.0,0.0,disabled,0.9083,0
2026-04-16 01:38:29,TEST/2026-02-24 12_45_28.jpg,35,2,33,0.0,0.0,disabled,0.9153,0
2026-04-16 01:38:29,TEST/2026-02-24 12_55_28.jpg,34,2,32,0.0,0.0,disabled,0.9198,0
2026-04-16 01:38:29,TEST/2026-02-24 13_05_29.jpg,36,2,34,0.0,0.0,disabled,0.9123,0
2026-04-16 01:38:29,TEST/2026-02-24 13_15_29.jpg,36,2,34,0.0,0.0,disabled,0.9226,0
2026-04-16 01:38:29,TEST/2026-02-24 13_25_29.jpg,35,2,33,0.0,0.0,disabled,0.9240,0
2026-04-16 01:38:30,TEST/2026-02-24 13_35_30.jpg,36,2,34,0.0,0.0,disabled,0.9199,0
2026-04-16 01:38:30,TEST/2026-02-24 13_45_30.jpg,36,2,34,0.0,0.0,disabled,0.9202,0
2026-04-16 01:38:30,TEST/2026-02-24 13_55_30.jpg,37,2,35,0.0,0.0,disabled,0.9109,0
2026-04-16 01:38:30,TEST/2026-02-24 14_05_30.jpg,37,2,35,0.0,0.0,disabled,0.9121,0
2026-04-16 01:38:30,TEST/2026-02-24 14_15_31.jpg,35,2,33,0.0,0.0,disabled,0.9195,0
2026-04-16 01:38:31,TEST/2026-02-24 14_25_31.jpg,35,2,33,0.0,0.0,disabled,0.9210,0
2026-04-16 01:38:31,TEST/2026-02-24 14_35_31.jpg,32,2,30,0.0,0.0,disabled,0.9205,0
2026-04-16 01:38:31,TEST/2026-02-24 14_45_31.jpg,29,2,27,0.0,0.0,disabled,0.9187,0
2026-04-16 01:38:31,TEST/2026-02-24 14_55_32.jpg,29,2,27,0.0,0.0,disabled,0.9217,0
2026-04-16 01:38:31,TEST/2026-02-24 15_05_32.jpg,27,2,25,0.0,0.0,disabled,0.9147,0
2026-04-16 01:38:32,TEST/2026-02-24 15_15_32.jpg,26,2,24,0.0,0.0,disabled,0.9214,0
